country,year,party_id,party,vote,govt,position,eu_salience,eu_asylum,eu_budgets,lrgen,immigra_salience,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,eu_position,multiculture_dissent,left_right,eu_salience_norm,eu_asylum_norm,eu_budgets_norm,lrgen_norm,immigra_salience_norm,people_vs_elite_norm,antielite_salience_norm,corrupt_salience_norm,members_vs_leadership_norm,position_norm,global
ger,2017,310,AfD,12.6,0,1.8125,7.125,1.5,1.3125,9.1875,9.9333334,7.625,9.6875,5,6.25,,,right,.71249998,.15000001,.13124999,.91874999,.99333334,.76249999,.96875,.5,.625,.18125001,.24581006
ger,2017,351,BLAU,,0,2.1428571,7.9166665,1.4285715,1.1666666,8.4444447,9.8000002,6.5,8.833333,2.5,9,,,right,.79166663,.14285715,.11666666,.84444445,.98000002,.64999998,.88333333,.25,.89999998,.2142857,
ger,2017,301,CDU,26.799999,1,6.0625,5.9375,5.875,4.0625,5.5625,6.5999999,2.25,1.5625,1.2307693,8.0625,,,centre,.59375,.58749998,.40625,.55624998,.65999997,.22499999,.15625,.12307693,.80624998,.60624999,.0060060062
ger,2017,308,CSU,6.1999998,1,4.5625,5.625,4.25,3,7.375,8.8000002,3.4375,3.625,.83333331,7.875,,,right,.5625,.42500001,.30000001,.73750001,.88,.34375,.36250001,.083333328,.78750002,.45625001,
ger,2017,303,FDP,10.7,0,4.5625,5.625,4.375,3,6.5625,6.8666668,3.75,3.6875,2.2307692,8.1875,,,left,.5625,.4375,.30000001,.65625,.68666667,.375,.36875001,.22307691,.81875002,.45625001,.0090744104
ger,2017,304,Grunen,8.8999996,0,6.7333331,6.3125,6.5625,5.875,2.9375,7.6666665,6.5625,2.625,2.6923077,4.3125,,,left,.63125002,.65625,.58749998,.29374999,.76666665,.65625,.26249999,.26923078,.43125001,.67333329,.026830204
ger,2017,350,LKR,,0,2.8,8.75,2.5,1.25,7.75,8,5.5,8,4.5,9,,,right,.875,.25,.125,.77499998,.80000001,.55000001,.80000001,.44999999,.89999998,.28,
ger,2017,306,Linke,9.1999998,0,4.1875,4.6875,5.5,4.6666665,1.4375,5.5999999,6.1999998,6.3125,3.3846154,5.875,,,left,.46875,.55000001,.46666664,.14375,.56,.62,.63125002,.33846155,.58749998,.41874999,.42733699
ger,2017,302,SPD,20.5,1,6.5625,7.125,6.3125,5.3125,3.875,6.5333333,3.6875,2.3125,2,5.75,,,left,.71249998,.63125002,.53125,.38749999,.65333331,.36875001,.23125,.2,.57499999,.65625,.018543957
esp,2017,526,C's,13.06,0,6.7692308,6.5714288,4.5384617,5.2727275,6.0714288,5.7142859,3.6428571,5.3846154,8.5714283,7,,,left,.65714288,.45384616,.52727276,.60714287,.5714286,.36428571,.53846157,.85714281,.69999999,.6769231,.013169576
esp,2017,517,CC,.33000001,0,6.4000001,5.2727275,4.8333335,3.6666667,6,7,4.1111112,2,3.25,5.5999999,,,centre,.52727276,.48333335,.36666667,.60000002,.69999999,.41111112,.2,.32499999,.56,.63999999,
esp,2017,550,CDC/PDeCAT,2,0,5.6428571,7.5,5.1999998,4.8000002,5.5714288,4.3333335,7.5714288,4.3571429,2.5714285,4.9230771,,,centre,.75,.51999998,.48000002,.55714285,.43333334,.7571429,.4357143,.25714284,.49230772,.5642857,
esp,2017,507,EA/EH Bildu,.76999998,0,4,5.3636365,5.6666665,3,1.4285715,5.7142859,7.6363635,7.25,6.625,3.5,,,left,.53636366,.56666666,.30000001,.14285715,.5714286,.76363635,.72500002,.66250002,.34999999,.40000001,
