country,party,party_id,position,eu_salience,eu_dissent,eu_asylum,eu_budgets,lrgen,lrecon,lrecon_clear,lrecon_salience,galtan,galtan_clear,galtan_salience,immigrate_policy,immigra_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,ethnic_minorities,galtan_new,galtan_new_clear,galtan_new_salience,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership
ge,CDU,301,strongly in favor,9,4,Strongly favors,3,center,center,9,9,6,7,6,7,9,6,8,9,4,6,6,7,6,4,2,1,9
ge,CDU,301,in favor,4,7,6,3,6,7,9,9,7,6,6,7,6,9,8,9,7,8,6,3,5,2,1,1,9
ge,CDU,301,strongly in favor,8,2,6,5,6,6,7,6,center,6,6,5,6,7,7,6,7,3,5,5,6,2,2,2,7
ge,CDU,301,in favor,7,6,5,4,7,6,6,7,6,5,5,5,7,9,5,6,8,5,6,3,5,3,4,3,7
ge,CDU,301,strongly in favor,9,1,6,4,6,7,9,9,6,6,7,6,9,9,7,great importance,6,6,6,6,8,2,3,.d,9
ge,CDU,301,in favor,5,7,Strongly favors,6,center,6,6,6,6,5,6,6,6,9,7,7,.d,5,6,3,2,2,not important at all,.d,7
ge,CDU,301,in favor,5,3,6,3,6,6,6,7,6,5,,5,6,5,5,5,5,5,5,5,5,3,3,3,8
ge,CDU,301,in favor,5,4,6,4,center,6,4,5,6,5,5,5,5,7,6,5,6,4,5,5,5,3,1,1,8
ge,CDU,301,in favor,7,7,Strongly favors,4,4,6,6,4,4,4,6,2,7,9,4,7,7,5,4,5,6,3,not important at all,not important at all,Leadership controls party choices
ge,CDU,301,in favor,3,2,6,6,6,6,5,5,6,5,5,6,6,6,6,3,5,4,6,3,6,2,1,not important at all,9
ge,CDU,301,somewhat in favor,6,3,6,4,6,6,3,6,6,4,6,6,7,9,6,6,6,5,6,4,7,1,not important at all,1,8
ge,CDU,301,somewhat in favor,4,7,6,3,6,7,5,5,6,6,6,7,7,7,8,7,8,9,7,4,7,2,1,not important at all,8
ge,CDU,301,in favor,5,2,6,5,4,4,7,6,3,7,6,4,6,5,7,5,2,6,.d,.d,.d,Elected officials make decisions,3,.d,9
ge,CDU,301,in favor,7,2,5,5,center,center,,,,,,5,,,,,,,6,6,6,2,2,3,5
ge,CDU,301,in favor,6,2,6,4,7,7,4,7,7,5,6,7,7,7,7,6,6,7,7,5,7,3,not important at all,not important at all,8
ge,CDU,301,in favor,5,5,3,2,center,7,5,5,7,8,8,7,5,6,9,7,2,7,7,7,7,2,2,1,8
ge,SPD,302,strongly in favor,8,2,Strongly favors,Strongly favors,3,4,7,8,4,3,6,2,7,6,3,7,3,5,4,7,3,5,not important at all,not important at all,6
ge,SPD,302,in favor,6,3,Strongly favors,5,4,3,5,7,4,6,6,3,5,6,4,6,4,6,3,7,5,6,3,1,5
ge,SPD,302,in favor,6,6,Strongly favors,5,4,4,6,7,4,5,6,3,7,6,5,5,.d,3,4,3,3,2,7,.d,4
ge,SPD,302,in favor,7,6,5,4,center,4,9,7,4,8,7,3,8,4,3,7,5,5,4,6,6,6,4,7,4
ge,SPD,302,strongly in favor,8,2,6,6,4,4,7,6,3,6,6,2,6,6,4,6,5,3,2,5,6,2,2,2,7
ge,SPD,302,strongly in favor,7,2,5,6,4,3,,,,,,3,,,,,,,,6,5,5,2,3,5
ge,SPD,302,strongly in favor,great importance,1,Strongly favors,5,4,4,7,9,center,6,6,6,9,4,5,9,3,5,5,6,6,3,2,1,7
ge,SPD,302,strongly in favor,great importance,2,Strongly favors,Strongly favors,4,3,9,8,2,8,9,1,6,2,3,5,2,1,.d,.d,.d,Elected officials make decisions,not important at all,.d,8
ge,SPD,302,strongly in favor,8,2,6,5,4,3,9,great importance,2,8,8,4,8,6,5,9,5,2,3,6,6,3,2,.d,7
ge,SPD,302,in favor,6,2,6,5,3,3,6,8,3,8,4,5,5,7,5,6,6,4,4,7,6,3,1,1,7
ge,SPD,302,in favor,6,4,Strongly favors,5,4,3,7,8,4,7,6,3,6,4,4,7,4,4,4,7,4,5,3,not important at all,6
ge,SPD,302,in favor,8,2,6,5,3,3,4,7,3,5,6,7,7,7,5,6,6,6,5,6,7,3,1,not important at all,4
ge,SPD,302,in favor,5,5,6,3,4,3,6,5,center,5,5,5,5,7,5,5,3,6,5,5,5,2,2,1,7
ge,SPD,302,strongly in favor,8,5,Strongly favors,Strongly favors,4,3,7,7,4,4,6,2,7,3,5,6,5,1,4,6,6,5,4,6,2
ge,SPD,302,strongly in favor,7,2,6,5,4,4,6,6,4,5,,7,6,5,2,6,5,4,6,6,5,4,3,3,6
ge,SPD,302,strongly in favor,4,2,6,5,4,4,6,6,4,6,4,5,6,4,5,6,3,2,4,4,4,5,1,1,7
ge,FDP,303,somewhat in favor,5,3,6,Strogly opposes,7,9,Completely Clear,9,4,3,5,7,7,3,7,6,6,8,7,7,8,2,1,not important at all,9
ge,FDP,303,in favor,7,1,6,2,6,7,9,9,4,8,7,7,8,5,6,9,3,6,5,4,5,3,4,1,9
ge,FDP,303,neutral,3,2,4,2,7,8,Completely Clear,great importance,4,7,3,8,7,3,6,6,3,5,5,7,4,4,3,1,8
ge,FDP,303,in favor,5,3,6,3,center,6,7,8,2,7,,6,6,5,3,6,5,3,8,7,8,4,3,3,8
ge,FDP,303,somewhat opposed,6,7,4,2,6,8,9,8,2,8,7,7,8,3,5,7,3,5,2,7,7,4,4,3,8
ge,FDP,303,somewhat in favor,4,2,5,6,6,9,7,8,6,3,6,7,6,6,6,5,3,3,5,1,4,2,4,1,9
ge,FDP,303,somewhat in favor,6,3,6,5,7,8,9,9,1,Completely Clear,8,2,9,3,5,9,3,1,.d,.d,.d,Elected officials make decisions,2,.d,Leadership controls party choices
ge,FDP,303,somewhat in favor,5,3,4,2,7,9,9,7,6,6,5,4,7,5,5,5,4,5,4,6,7,4,3,2,8
ge,FDP,303,neutral,5,8,3,3,6,9,Completely Clear,8,4,8,4,7,7,5,6,7,5,5,4,5,5,2,5,7,9
ge,FDP,303,somewhat opposed,6,5,2,5,7,9,Completely Clear,8,2,8,8,6,7,.d,.d,6,.d,4,4,4,6,7,not important at all,.d,7
ge,FDP,303,somewhat opposed,6,3,3,2,8,9,9,8,3,8,7,8,7,2,8,7,3,8,3,9,5,7,6,2,8
ge,FDP,303,somewhat in favor,7,2,5,4,center,7,,,,,,6,,,,,,,4,6,6,4,5,5,5
ge,FDP,303,somewhat in favor,4,4,4,Strogly opposes,8,8,9,7,center,2,5,8,3,2,4,6,3,3,5,5,1,4,7,2,7
ge,FDP,303,in favor,6,4,Strongly favors,6,6,extreme right,Completely Clear,great importance,3,7,6,6,9,2,6,9,2,3,5,5,6,5,5,.d,8
ge,FDP,303,somewhat opposed,7,2,2,2,7,8,9,7,8,8,8,8,7,1,9,9,1,8,7,7,8,2,4,1,8
ge,FDP,303,somewhat in favor,8,2,3,2,7,8,9,9,3,7,8,6,5,2,4,6,3,6,3,7,5,6,3,1,Leadership controls party choices
ge,Grunen,304,strongly in favor,6,3,Strongly favors,6,2,2,9,5,2,9,9,1,9,2,1,9,1,1,0,10,10,8,6,not important at all,5
ge,Grunen,304,in favor,7,2,Strongly favors,6,3,4,6,7,1,8,7,2,9,2,2,7,2,7,1,9,9,6,2,3,6
ge,Grunen,304,strongly in favor,8,2,6,Strongly favors,2,2,7,4,libertarian/postmaterialist,9,9,1,7,1,2,6,1,3,0,5,9,4,2,2,6
