party,score,orientation,counts
Democratic Mouvement,0.2403846153846154,Right-wing,416
Indomitable France,0.6594427244582043,Left-wing,323
Centrist Alliance,0.15625,Other,32
Left Front,0.29508196721311475,Left-wing,244
Radical Party,0.1826086956521739,Right-wing,115
New Centre,0.21621621621621623,Other,259
Socialist Party,0.19534883720930232,Left-wing,215
Union for a Popular Movement,0.1919191919191919,Right-wing,297
Left Radical Party,0.21341463414634146,Left-wing,328
National Front,0.6091703056768559,Right-wing,458
Republic Onwards!,0.2743362831858407,Other,113
Union of Democrats and Independents,0.19148936170212766,Right-wing,94
Nouveau Parti Anticapitaliste,0.3516949152542373,Left-wing,236
Resistons,0.5108695652173914,Left-wing,552
Debout la France,0.50390625,Right-wing,256
The Greens,0.3969017094017094,Left-wing,1872
French Communist Party,0.28205128205128205,Left-wing,39
