party,score,orientation,counts
PaP,0.5555555555555556,Left-wing,9
The Olive Tree,0.21374045801526717,Left-wing,131
SEL,0.16489361702127658,Left-wing,188
The Union,0.18292682926829268,Left-wing,82
Labour and Freedom List,0.10476190476190476,Right-wing,105
PD,0.2231404958677686,Left-wing,242
Northern League,0.5093632958801498,Right-wing,267
M5S,0.8339483394833949,Other,271
Brothers of Italy,0.4444444444444444,Right-wing,9
LeU,0.24,Left-wing,25
Civic Choice,0.1111111111111111,Left-wing,144
SVP,0.0,Left-wing,252
Communist Refoundation Party,0.029641185647425898,Left-wing,641
Democratic Center,0.1015625,Other,128
Civil Revolution,0.08148148148148149,Left-wing,135
UDC,0.16923076923076924,Other,130
European Democracy,0.09433962264150944,Other,53
Autonomy Liberty Participation Ecology,0.0,Other,3
Italy of Values,0.0776287932251235,Other,1417
Houses of Freedom,0.07377049180327869,Right-wing,854
Forward Italy,0.4666666666666667,Right-wing,15
Casapound,0.868421052631579,Right-wing,38
PdL,0.08560311284046693,Right-wing,514
