party,score,orientation,counts
PdL,0.019736842105263157,Right-wing,152
PaP,0.4166666666666667,Left-wing,12
Civil Revolution,0.0979020979020979,Left-wing,143
Houses of Freedom,0.1935483870967742,Right-wing,31
Labour and Freedom List,0.0449438202247191,Right-wing,89
Northern League,0.17454545454545456,Right-wing,275
UDC,0.10655737704918032,Other,122
PD,0.09166666666666666,Left-wing,240
Forward Italy,0.25,Right-wing,4
SEL,0.07368421052631578,Left-wing,190
Brothers of Italy,0.08333333333333333,Right-wing,12
Autonomy Liberty Participation Ecology,0.0,Other,3
Civic Choice,0.038834951456310676,Left-wing,103
M5S,0.26859504132231404,Other,242
Democratic Center,0.125,Other,136
Casapound,0.75,Right-wing,8
SVP,0.0037593984962406013,Left-wing,266
LeU,0.2,Left-wing,25
The Union,0.09259259259259259,Left-wing,54
Italy of Values,0.0,Other,21
