party,score,orientation,counts
Party of Freedom,0.4012345679012346,Right-wing,486
Christian Union,0.20603015075376885,Other,3383
Socialist Party,0.4797921478060046,Left-wing,1732
Christian Democratic Appeal,0.18819351975144252,Right-wing,2253
People’s Party for Freedom and Democracy,0.19962335216572505,Right-wing,2124
List Pim Fortuyn,0.5271317829457365,Right-wing,129
Democrats‘66,0.1514497223935842,Other,3242
Labour Party,0.22242120343839542,Left-wing,2792
Forum for Democracy,0.39572192513368987,Right-wing,187
Reformed Political Party,0.23920367534456355,Right-wing,9795
Green Left,0.3190295678544352,Left-wing,6595
Party for the Animals,0.31417004048582997,Left-wing,4940
DENK,0.25252525252525254,Left-wing,990
50Plus,0.2898550724637681,Other,759
