party,year,score,orientation,counts
Free Democratic Party,2005,0.18090452261306533,Right-wing,199
Social Democratic Party of Germany,2009,0.16842105263157894,Left-wing,285
Free Democratic Party,2013,0.14805194805194805,Right-wing,385
Christian Democratic Union-Christian Social Union,2017,0.09174311926605505,Right-wing,218
Social Democratic Party of Germany,2013,0.20270270270270271,Left-wing,444
Alliance‘90-Greens,2017,0.21958925750394945,Left-wing,633
Christian Democratic Union-Christian Social Union,2002,0.10891089108910891,Right-wing,202
Free Democratic Party,2002,0.184375,Right-wing,320
Free Democratic Party,2009,0.14030612244897958,Right-wing,392
The Left,2009,0.5972222222222222,Left-wing,216
Christian Democratic Union-Christian Social Union,2013,0.1,Right-wing,410
Free Democratic Party,2017,0.1896551724137931,Right-wing,348
Christian Democratic Union-Christian Social Union,2009,0.0896551724137931,Right-wing,290
The Left,2017,0.692063492063492,Left-wing,630
Alliance‘90-Greens,2002,0.1660377358490566,Left-wing,265
Social Democratic Party of Germany,2017,0.1893939393939394,Left-wing,396
Alliance‘90-Greens,2005,0.16987179487179488,Left-wing,312
Alliance‘90-Greens,2013,0.21931818181818183,Left-wing,880
Alliance‘90-Greens,2009,0.2303370786516854,Left-wing,534
Social Democratic Party of Germany,2002,0.11522633744855967,Left-wing,243
The Left,2013,0.7,Left-wing,400
Party of Democratic Socialism,2005,0.4666666666666667,Left-wing,105
Alternative for Germany,2017,0.489247311827957,Right-wing,186
Christian Democratic Union-Christian Social Union,2005,0.12,Right-wing,125
Party of Democratic Socialism,2002,0.32432432432432434,Left-wing,148
Social Democratic Party of Germany,2005,0.11290322580645161,Left-wing,124
Alternative for Germany,2013,0.5555555555555556,Right-wing,9
Pirates,2013,0.3387096774193548,Other,1178
