party,year,score,orientation,counts
Democratic Mouvement,2017.0,0.25316455696202533,Right-wing,158
Republic Onwards!,2017.0,0.2743362831858407,Other,113
Centrist Alliance,2012.0,0.15625,Other,32
Democratic Mouvement,2012.0,0.20625,Right-wing,160
Union for a Popular Movement,2017.0,0.20238095238095238,Right-wing,84
Union for a Popular Movement,2012.0,0.2037037037037037,Right-wing,162
Radical Party,2012.0,0.1826086956521739,Right-wing,115
Left Radical Party,2017.0,0.22043010752688172,Left-wing,186
Democratic Mouvement,2007.0,0.2755102040816326,Right-wing,98
National Front,2007.0,0.6479400749063671,Right-wing,267
Union of Democrats and Independents,2017.0,0.19148936170212766,Right-wing,94
Left Radical Party,2012.0,0.20422535211267606,Left-wing,142
Indomitable France,2017.0,0.6594427244582043,Left-wing,323
Left Front,2012.0,0.29508196721311475,Left-wing,244
Socialist Party,2007.0,0.19548872180451127,Left-wing,133
National Front,2012.0,0.5148514851485149,Right-wing,101
New Centre,2012.0,0.21621621621621623,Other,259
National Front,2017.0,0.6,Right-wing,90
Socialist Party,2012.0,0.1774193548387097,Left-wing,62
Union for a Popular Movement,2007.0,0.13725490196078433,Right-wing,51
Socialist Party,2017.0,0.25,Left-wing,20
The Greens,2017.0,0.4649122807017544,Left-wing,228
The Greens,2012.0,0.3487677371172517,Left-wing,1339
The Greens,2007.0,0.5573770491803278,Left-wing,305
French Communist Party,2017.0,0.28205128205128205,Left-wing,39
Nouveau Parti Anticapitaliste,2017.0,0.3516949152542373,Left-wing,236
Debout la France,2017.0,0.50390625,Right-wing,256
Resistons,2017.0,0.5108695652173914,Left-wing,552
