party,year,score,orientation,counts
Civil Revolution,2013.0,0.0979020979020979,Left-wing,143
The Union,2006.0,0.09259259259259259,Left-wing,54
Labour and Freedom List,2013.0,0.0449438202247191,Right-wing,89
SEL,2013.0,0.07368421052631578,Left-wing,190
M5S,2013.0,0.03773584905660377,Other,53
Northern League,2008.0,0.16470588235294117,Right-wing,85
Democratic Center,2013.0,0.125,Other,136
PD,2008.0,0.015151515151515152,Left-wing,66
SVP,2013.0,0.0037593984962406013,Left-wing,266
PD,2018.0,0.14285714285714285,Left-wing,112
UDC,2013.0,0.11016949152542373,Other,118
PdL,2008.0,0.0,Right-wing,78
Northern League,2018.0,0.17894736842105263,Right-wing,190
Civic Choice,2013.0,0.038834951456310676,Left-wing,103
M5S,2018.0,0.3333333333333333,Other,189
Houses of Freedom,2006.0,0.1935483870967742,Right-wing,31
PdL,2013.0,0.04054054054054054,Right-wing,74
PD,2013.0,0.08064516129032258,Left-wing,62
LeU,2018.0,0.2,Left-wing,25
UDC,2018.0,0.0,Other,4
Brothers of Italy,2018.0,0.08333333333333333,Right-wing,12
Forward Italy,2018.0,0.25,Right-wing,4
Autonomy Liberty Participation Ecology,2013.0,0.0,Other,3
Italy of Values,2008.0,0.0,Other,21
Casapound,2018.0,0.75,Right-wing,8
PaP,2018.0,0.4166666666666667,Left-wing,12
