party,score,orientation,counts,random_state
Austrian Communist Party,0.3291139240506329,Left-wing,158,0
The Greens,0.3129074315514993,Left-wing,767,0
Austrian People’s Party,0.3040877367896311,Right-wing,1003,0
Alliance for the Future of Austria,0.4954682779456193,Right-wing,331,0
Austrian Social Democratic Party,0.3095238095238095,Left-wing,504,0
Austrian Freedom Party,0.5870689655172414,Right-wing,1160,0
The New Austria,0.2393162393162393,Other,117,0
Team Stronach for Austria,0.5652173913043478,Right-wing,161,0
Peter Pilz List,0.4505494505494505,Left-wing,182,0
Austrian Communist Party,0.3452593917710196,Left-wing,559,1
The Greens,0.3010118043844856,Left-wing,1186,1
Austrian People’s Party,0.3444816053511705,Right-wing,598,1
Alliance for the Future of Austria,0.5446428571428571,Right-wing,224,1
Austrian Social Democratic Party,0.4020618556701031,Left-wing,194,1
Austrian Freedom Party,0.5447338618346546,Right-wing,883,1
The New Austria,0.3221957040572792,Other,419,1
Team Stronach for Austria,0.6136363636363636,Right-wing,176,1
Peter Pilz List,0.5,Left-wing,56,1
Austrian Communist Party,0.1866666666666666,Left-wing,75,2
The Greens,0.2839694656488549,Left-wing,655,2
Austrian People’s Party,0.3326996197718631,Right-wing,526,2
Alliance for the Future of Austria,0.5447761194029851,Right-wing,134,2
Austrian Social Democratic Party,0.2222222222222222,Left-wing,819,2
Austrian Freedom Party,0.5699248120300752,Right-wing,665,2
The New Austria,0.3245614035087719,Other,684,2
Team Stronach for Austria,0.6255230125523012,Right-wing,478,2
Peter Pilz List,0.2578444747612551,Left-wing,733,2
Austrian Communist Party,0.4561403508771929,Left-wing,57,3
The Greens,0.2038043478260869,Left-wing,736,3
Austrian People’s Party,0.2408111533586818,Right-wing,789,3
Alliance for the Future of Austria,0.4658493870402802,Right-wing,571,3
Austrian Social Democratic Party,0.2649063032367972,Left-wing,1174,3
Austrian Freedom Party,0.4316702819956616,Right-wing,461,3
The New Austria,0.1372549019607843,Other,357,3
Team Stronach for Austria,0.4444444444444444,Right-wing,18,3
Peter Pilz List,0.2621359223300971,Left-wing,309,3
Austrian Communist Party,0.2709677419354839,Left-wing,155,4
The Greens,0.2345132743362832,Left-wing,452,4
Austrian People’s Party,0.2868571428571428,Right-wing,875,4
Alliance for the Future of Austria,0.5636363636363636,Right-wing,495,4
Austrian Social Democratic Party,0.2732558139534883,Left-wing,516,4
Austrian Freedom Party,0.4517133956386293,Right-wing,963,4
The New Austria,0.2847571189279732,Other,597,4
Team Stronach for Austria,0.5611111111111111,Right-wing,180,4
Peter Pilz List,0.5131578947368421,Left-wing,76,4
Austrian Communist Party,0.3063063063063063,Left-wing,222,5
The Greens,0.2645161290322581,Left-wing,930,5
Austrian People’s Party,0.2602523659305993,Right-wing,634,5
Alliance for the Future of Austria,0.5204918032786885,Right-wing,244,5
Austrian Social Democratic Party,0.3,Left-wing,360,5
Austrian Freedom Party,0.4923976608187134,Right-wing,855,5
The New Austria,0.2429057888762769,Other,881,5
Team Stronach for Austria,0.4367816091954023,Right-wing,87,5
Peter Pilz List,0.2291666666666666,Left-wing,144,5
Austrian Communist Party,0.1777777777777777,Left-wing,90,6
The Greens,0.2542955326460481,Left-wing,873,6
Austrian People’s Party,0.2349272349272349,Right-wing,481,6
Alliance for the Future of Austria,0.3076923076923077,Right-wing,234,6
Austrian Social Democratic Party,0.1747126436781609,Left-wing,1305,6
Austrian Freedom Party,0.5283422459893048,Right-wing,935,6
The New Austria,0.2417582417582417,Other,273,6
Team Stronach for Austria,0.3962264150943396,Right-wing,53,6
Peter Pilz List,0.2894736842105263,Left-wing,38,6
Austrian Communist Party,0.32,Left-wing,50,7
The Greens,0.2264492753623188,Left-wing,552,7
Austrian People’s Party,0.290167865707434,Right-wing,417,7
Alliance for the Future of Austria,0.5982532751091703,Right-wing,229,7
Austrian Social Democratic Party,0.2151202749140893,Left-wing,1455,7
Austrian Freedom Party,0.5046979865771812,Right-wing,745,7
The New Austria,0.1987381703470031,Other,317,7
Team Stronach for Austria,0.6,Right-wing,10,7
Peter Pilz List,0.3312538989394885,Left-wing,1603,7
Austrian Communist Party,0.3780487804878049,Left-wing,82,8
The Greens,0.1686868686868687,Left-wing,990,8
Austrian People’s Party,0.2669322709163346,Right-wing,753,8
Alliance for the Future of Austria,0.5780730897009967,Right-wing,301,8
Austrian Social Democratic Party,0.1846965699208443,Left-wing,758,8
Austrian Freedom Party,0.3149606299212598,Right-wing,254,8
The New Austria,0.1464968152866242,Other,471,8
Team Stronach for Austria,0.465324384787472,Right-wing,447,8
Peter Pilz List,0.1969924812030075,Left-wing,665,8
Austrian Communist Party,0.20833333333333334,Left-wing,72,9
The Greens,0.20149253731343283,Left-wing,536,9
Austrian People’s Party,0.21468298109010012,Right-wing,899,9
Alliance for the Future of Austria,0.4854368932038835,Right-wing,103,9
Austrian Social Democratic Party,0.29839704069050554,Left-wing,811,9
Austrian Freedom Party,0.5138888888888888,Right-wing,864,9
The New Austria,0.31478260869565217,Other,575,9
Team Stronach for Austria,0.5612244897959183,Right-wing,196,9
Peter Pilz List,0.2887218045112782,Left-wing,665,9
