party,score,orientation,counts,random_state
Party of Democratic Socialism,0.2851063829787234,Left-wing,470,0
Alternative for Germany,0.3819188191881918,Right-wing,542,0
Social Democratic Party of Germany,0.3490749756572541,Left-wing,2054,0
Alliance‘90-Greens,0.2890625,Left-wing,896,0
The Left,0.4026522001205545,Left-wing,1659,0
Free Democratic Party,0.2678571428571428,Right-wing,1288,0
Christian Democratic Union-Christian Social Union,0.2937743190661478,Right-wing,1542,0
Pirates,0.2989021956087824,Other,2004,0
Party of Democratic Socialism,0.3792486583184257,Left-wing,559,1
Alternative for Germany,0.3940298507462687,Right-wing,670,1
Social Democratic Party of Germany,0.2889667250437828,Left-wing,1142,1
Alliance‘90-Greens,0.2656050955414012,Left-wing,1570,1
The Left,0.4852118305355715,Left-wing,1251,1
Free Democratic Party,0.3635863586358636,Right-wing,1818,1
Christian Democratic Union-Christian Social Union,0.3181818181818182,Right-wing,1408,1
Pirates,0.5066225165562914,Other,2114,1
Party of Democratic Socialism,0.3093434343434343,Left-wing,792,2
Alternative for Germany,0.384453781512605,Right-wing,476,2
Social Democratic Party of Germany,0.2585320243104254,Left-wing,2139,2
Alliance‘90-Greens,0.2634315424610052,Left-wing,1731,2
The Left,0.3927068723702664,Left-wing,713,2
Free Democratic Party,0.3168023686158401,Right-wing,1351,2
Christian Democratic Union-Christian Social Union,0.2878870179250407,Right-wing,1841,2
Pirates,0.34375,Other,32,2
Party of Democratic Socialism,0.3139841688654353,Left-wing,758,3
Alternative for Germany,0.5019404915912031,Right-wing,773,3
Social Democratic Party of Germany,0.2222222222222222,Left-wing,1215,3
Alliance‘90-Greens,0.257871878393051,Left-wing,1842,3
The Left,0.3468599033816425,Left-wing,1035,3
Free Democratic Party,0.2563739376770538,Right-wing,1412,3
Christian Democratic Union-Christian Social Union,0.2325697211155378,Right-wing,2008,3
Pirates,0.15625,Other,32,3
Party of Democratic Socialism,0.2031578947368421,Left-wing,950,4
Alternative for Germany,0.2731707317073171,Right-wing,410,4
Social Democratic Party of Germany,0.1377708978328173,Left-wing,1292,4
Alliance‘90-Greens,0.1718972895863053,Left-wing,1402,4
The Left,0.3611650485436893,Left-wing,1030,4
Free Democratic Party,0.2441651705565529,Right-wing,2228,4
Christian Democratic Union-Christian Social Union,0.1519795657726692,Right-wing,1566,4
Pirates,0.1460481099656357,Other,582,4
Party of Democratic Socialism,0.3117744610281924,Left-wing,603,5
Alternative for Germany,0.4146868250539957,Right-wing,463,5
Social Democratic Party of Germany,0.235047619047619,Left-wing,2625,5
Alliance‘90-Greens,0.2293762575452716,Left-wing,1491,5
The Left,0.3571428571428571,Left-wing,910,5
Free Democratic Party,0.1974708171206225,Right-wing,1028,5
Christian Democratic Union-Christian Social Union,0.2384146341463414,Right-wing,1640,5
Pirates,0.2772073921971252,Other,974,5
Party of Democratic Socialism,0.2372549019607843,Left-wing,1020,6
Alternative for Germany,0.4821208384710234,Right-wing,811,6
Social Democratic Party of Germany,0.2697998259355961,Left-wing,1149,6
Alliance‘90-Greens,0.3713646532438479,Left-wing,1341,6
The Left,0.6152777777777778,Left-wing,720,6
Free Democratic Party,0.2315270935960591,Right-wing,2436,6
Christian Democratic Union-Christian Social Union,0.2182566918325326,Right-wing,1457,6
Pirates,0.3848101265822785,Other,395,6
Party of Democratic Socialism,0.2281407035175879,Left-wing,995,7
Alternative for Germany,0.3755924170616114,Right-wing,844,7
Social Democratic Party of Germany,0.1978851963746223,Left-wing,1324,7
Alliance‘90-Greens,0.1842364532019704,Left-wing,2030,7
The Left,0.2664041994750656,Left-wing,762,7
Free Democratic Party,0.2305953278070836,Right-wing,1327,7
Christian Democratic Union-Christian Social Union,0.191086691086691,Right-wing,1638,7
Pirates,0.2227272727272727,Other,440,7
Party of Democratic Socialism,0.2831541218637993,Left-wing,1116,8
Alternative for Germany,0.2708333333333333,Right-wing,384,8
Social Democratic Party of Germany,0.2328981723237597,Left-wing,1915,8
Alliance‘90-Greens,0.2589531680440771,Left-wing,1089,8
The Left,0.4040234702430846,Left-wing,1193,8
Free Democratic Party,0.2244569589702333,Right-wing,1243,8
Christian Democratic Union-Christian Social Union,0.2460824143934997,Right-wing,1723,8
Pirates,0.2557781201848998,Other,1298,8
Party of Democratic Socialism,0.2672955974842767,Left-wing,636,9
Alternative for Germany,0.350943396226415,Right-wing,265,9
Social Democratic Party of Germany,0.2504537205081669,Left-wing,1653,9
Alliance‘90-Greens,0.2799794132784354,Left-wing,1943,9
The Left,0.3682008368200837,Left-wing,717,9
Free Democratic Party,0.2209144409234948,Right-wing,2209,9
Christian Democratic Union-Christian Social Union,0.2321937321937321,Right-wing,1404,9
Pirates,0.2327127659574468,Other,752,9
Christian Democratic Union-Christian Social Union,0.2229775662814412,Right-wing,1471,0
Alliance‘90-Greens,0.2687585266030013,Left-wing,733,0
The Left,0.3392857142857143,Left-wing,672,0
Alternative for Germany,0.5932028836251287,Right-wing,971,0
Free Democratic Party,0.2262198127156234,Right-wing,2029,0
Party of Democratic Socialism,0.243859649122807,Left-wing,1140,0
Social Democratic Party of Germany,0.2330402010050251,Left-wing,1592,0
Pirates,0.1512491559756921,Other,1481,0
Christian Democratic Union-Christian Social Union,0.3434782608695652,Right-wing,1150,1
Alliance‘90-Greens,0.3263009845288326,Left-wing,1422,1
The Left,0.5203854707190512,Left-wing,1349,1
Alternative for Germany,0.5738636363636364,Right-wing,880,1
Free Democratic Party,0.4045545880776959,Right-wing,1493,1
Party of Democratic Socialism,0.3748006379585327,Left-wing,627,1
Social Democratic Party of Germany,0.3394276629570747,Left-wing,1258,1
Pirates,0.5292096219931272,Other,2910,1
Christian Democratic Union-Christian Social Union,0.2210127780407004,Right-wing,2113,2
Alliance‘90-Greens,0.1984334203655352,Left-wing,1532,2
The Left,0.4384180790960452,Left-wing,885,2
Alternative for Germany,0.4410112359550562,Right-wing,356,2
Free Democratic Party,0.2947598253275109,Right-wing,1374,2
Party of Democratic Socialism,0.2290950744558992,Left-wing,873,2
Social Democratic Party of Germany,0.1708666256914566,Left-wing,1627,2
Pirates,0.2012320328542094,Other,974,2
Christian Democratic Union-Christian Social Union,0.2163495419309372,Right-wing,1419,3
Alliance‘90-Greens,0.2428508578970523,Left-wing,2273,3
The Left,0.5524360033030553,Left-wing,1211,3
Alternative for Germany,0.5097222222222222,Right-wing,720,3
Free Democratic Party,0.2766129032258064,Right-wing,1240,3
Party of Democratic Socialism,0.1945812807881773,Left-wing,812,3
Social Democratic Party of Germany,0.2441767068273092,Left-wing,1245,3
Pirates,0.1568181818181818,Other,440,3
Christian Democratic Union-Christian Social Union,0.2784877529286475,Right-wing,1878,4
Alliance‘90-Greens,0.2637954239569313,Left-wing,1486,4
The Left,0.3689320388349514,Left-wing,1133,4
Alternative for Germany,0.352165725047081,Right-wing,531,4
Free Democratic Party,0.2488938053097345,Right-wing,1808,4
Party of Democratic Socialism,0.2731554160125589,Left-wing,637,4
Social Democratic Party of Germany,0.2626334519572953,Left-wing,1405,4
Pirates,0.2422680412371134,Other,582,4
Christian Democratic Union-Christian Social Union,0.2576368876080692,Right-wing,1735,5
Alliance‘90-Greens,0.2226890756302521,Left-wing,1666,5
The Left,0.5264586160108549,Left-wing,737,5
Alternative for Germany,0.3632286995515695,Right-wing,223,5
Free Democratic Party,0.1926559356136821,Right-wing,1988,5
Party of Democratic Socialism,0.2256097560975609,Left-wing,656,5
Social Democratic Party of Germany,0.2758620689655172,Left-wing,1653,5
Pirates,0.2298325722983257,Other,1314,5
Christian Democratic Union-Christian Social Union,0.3150492264416315,Right-wing,1422,6
Alliance‘90-Greens,0.3203492276695769,Left-wing,1489,6
The Left,0.5415183867141162,Left-wing,1686,6
Alternative for Germany,0.4494584837545126,Right-wing,554,6
Free Democratic Party,0.2976266837716484,Right-wing,1559,6
Party of Democratic Socialism,0.3333333333333333,Left-wing,837,6
Social Democratic Party of Germany,0.2938005390835579,Left-wing,1113,6
Pirates,0.3741392501912777,Other,1307,6
Christian Democratic Union-Christian Social Union,0.2871287128712871,Right-wing,1515,7
Alliance‘90-Greens,0.2221412964311726,Left-wing,1373,7
The Left,0.4527526705012325,Left-wing,1217,7
Alternative for Germany,0.424408014571949,Right-wing,549,7
Free Democratic Party,0.2277039848197343,Right-wing,2108,7
Party of Democratic Socialism,0.2140672782874617,Left-wing,327,7
Social Democratic Party of Germany,0.2973568281938326,Left-wing,1362,7
Pirates,0.3892215568862275,Other,2004,7
Christian Democratic Union-Christian Social Union,0.3555555555555555,Right-wing,1845,8
Alliance‘90-Greens,0.2567237163814181,Left-wing,1227,8
The Left,0.3495145631067961,Left-wing,1133,8
Alternative for Germany,0.4737430167597765,Right-wing,895,8
Free Democratic Party,0.3029772329246935,Right-wing,1142,8
Party of Democratic Socialism,0.3025516403402187,Left-wing,823,8
Social Democratic Party of Germany,0.3077377436503248,Left-wing,1693,8
Pirates,0.2413441955193482,Other,982,8
Christian Democratic Union-Christian Social Union,0.2516714422158548,Right-wing,2094,9
Alliance‘90-Greens,0.2319767441860465,Left-wing,1720,9
The Left,0.472636815920398,Left-wing,603,9
Alternative for Germany,0.553125,Right-wing,640,9
Free Democratic Party,0.2315558802045288,Right-wing,1369,9
Party of Democratic Socialism,0.2526455026455027,Left-wing,756,9
Social Democratic Party of Germany,0.1504567436861902,Left-wing,1861,9
Pirates,0.1875,Other,32,9
Christian Democratic Union-Christian Social Union,0.2853628536285363,Right-wing,1626,10
Alliance‘90-Greens,0.3433583959899749,Left-wing,798,10
The Left,0.490073145245559,Left-wing,957,10
Alternative for Germany,0.3668005354752343,Right-wing,747,10
Free Democratic Party,0.254198031268095,Right-wing,1727,10
Party of Democratic Socialism,0.1949828962371722,Left-wing,877,10
Social Democratic Party of Germany,0.2473347547974413,Left-wing,1876,10
Pirates,0.3274814314652262,Other,1481,10
Christian Democratic Union-Christian Social Union,0.2675709001233046,Right-wing,1622,11
Alliance‘90-Greens,0.2857142857142857,Left-wing,2310,11
The Left,0.3556058890147225,Left-wing,883,11
Alternative for Germany,0.346483704974271,Right-wing,583,11
Free Democratic Party,0.2070679182771949,Right-wing,1811,11
Party of Democratic Socialism,0.2813299232736573,Left-wing,391,11
Social Democratic Party of Germany,0.2796402289452167,Left-wing,1223,11
Pirates,0.326797385620915,Other,765,11
Christian Democratic Union-Christian Social Union,0.2956521739130435,Right-wing,1150,12
Alliance‘90-Greens,0.239469128678592,Left-wing,1733,12
The Left,0.4430894308943089,Left-wing,984,12
Alternative for Germany,0.4695290858725762,Right-wing,722,12
Free Democratic Party,0.2200208550573514,Right-wing,959,12
Party of Democratic Socialism,0.200261780104712,Left-wing,1528,12
Social Democratic Party of Germany,0.3120104438642297,Left-wing,1532,12
Pirates,0.2153950033760972,Other,1481,12
Christian Democratic Union-Christian Social Union,0.2399090392268334,Right-wing,1759,13
Alliance‘90-Greens,0.2432814710042432,Left-wing,2121,13
The Left,0.4166666666666667,Left-wing,792,13
Alternative for Germany,0.2987012987012987,Right-wing,385,13
Free Democratic Party,0.1820245120290513,Right-wing,2203,13
Party of Democratic Socialism,0.2011385199240986,Left-wing,527,13
Social Democratic Party of Germany,0.2404458598726114,Left-wing,1256,13
Pirates,0.21875,Other,32,13
Christian Democratic Union-Christian Social Union,0.318118948824343,Right-wing,1446,14
Alliance‘90-Greens,0.2225274725274725,Left-wing,1092,14
The Left,0.40203714799281,Left-wing,1669,14
Alternative for Germany,0.5486725663716814,Right-wing,678,14
Free Democratic Party,0.2702857142857143,Right-wing,1750,14
Party of Democratic Socialism,0.1785714285714285,Left-wing,588,14
Social Democratic Party of Germany,0.2603953646898432,Left-wing,1467,14
Pirates,0.4226633581472291,Other,1209,14
Christian Democratic Union-Christian Social Union,0.3008982035928144,Right-wing,1336,15
Alliance‘90-Greens,0.2155220547180346,Left-wing,1791,15
The Left,0.40608228980322,Left-wing,1118,15
Alternative for Germany,0.3153692614770459,Right-wing,501,15
Free Democratic Party,0.273851590106007,Right-wing,2264,15
Party of Democratic Socialism,0.3142857142857143,Left-wing,385,15
Social Democratic Party of Germany,0.2943213296398892,Left-wing,1444,15
Pirates,0.3126760563380282,Other,710,15
Christian Democratic Union-Christian Social Union,0.2693498452012384,Right-wing,969,16
Alliance‘90-Greens,0.3363828289936664,Left-wing,1421,16
The Left,0.5122083559413999,Left-wing,1843,16
Alternative for Germany,0.430473372781065,Right-wing,676,16
Free Democratic Party,0.3227848101265823,Right-wing,1738,16
Party of Democratic Socialism,0.2988721804511278,Left-wing,532,16
Social Democratic Party of Germany,0.3090024330900243,Left-wing,1644,16
Pirates,0.2862745098039215,Other,765,16
Christian Democratic Union-Christian Social Union,0.2337294850028296,Right-wing,1767,17
Alliance‘90-Greens,0.2818559556786703,Left-wing,1444,17
The Left,0.3709428129829984,Left-wing,647,17
Alternative for Germany,0.4651162790697674,Right-wing,473,17
Free Democratic Party,0.2312734082397003,Right-wing,2136,17
Party of Democratic Socialism,0.3675538656527249,Left-wing,789,17
Social Democratic Party of Germany,0.2364367046215673,Left-wing,1493,17
Pirates,0.3231225296442688,Other,1012,17
Christian Democratic Union-Christian Social Union,0.2351039260969976,Right-wing,2165,18
Alliance‘90-Greens,0.261744966442953,Left-wing,1341,18
The Left,0.3876739562624254,Left-wing,1006,18
Alternative for Germany,0.510498687664042,Right-wing,762,18
Free Democratic Party,0.1943099273607748,Right-wing,1652,18
Party of Democratic Socialism,0.170896785109983,Left-wing,591,18
