party,score,orientation,counts,random_state
List Pim Fortuyn,0.3214285714285714,Right-wing,420,0
Christian Union,0.3218943033630748,Other,1457,0
Labour Party,0.2314553990610328,Left-wing,4260,0
Party of Freedom,0.3703531598513011,Right-wing,2152,0
Christian Democratic Appeal,0.2253649635036496,Right-wing,1096,0
Socialist Party,0.3795411089866157,Left-wing,2092,0
Forum for Democracy,0.5436241610738255,Right-wing,149,0
Democrats‘66,0.3171179440110142,Other,2179,0
People’s Party for Freedom and Democracy,0.3028142589118199,Right-wing,2665,0
Reformed Political Party,0.3152260111022997,Right-wing,7566,0
50Plus,0.3000528262017961,Other,1893,0
Green Left,0.2930177043962602,Left-wing,5027,0
Party for the Animals,0.3090909090909091,Left-wing,6765,0
DENK,0.1719557195571955,Left-wing,1355,0
List Pim Fortuyn,0.230392156862745,Right-wing,204,1
Christian Union,0.2719033232628399,Other,993,1
Labour Party,0.2264359351988218,Left-wing,2716,1
Party of Freedom,0.3774145616641902,Right-wing,673,1
Christian Democratic Appeal,0.235056839017235,Right-wing,2727,1
Socialist Party,0.3514492753623188,Left-wing,3588,1
Forum for Democracy,0.2851851851851852,Right-wing,270,1
Democrats‘66,0.2276029055690072,Other,2065,1
People’s Party for Freedom and Democracy,0.2171223958333333,Right-wing,3072,1
Reformed Political Party,0.2910905374534087,Right-wing,8317,1
50Plus,0.2272317403065825,Other,1109,1
Green Left,0.2668354430379747,Left-wing,7900,1
Party for the Animals,0.3254699594544784,Left-wing,5426,1
DENK,0.3569620253164557,Left-wing,395,1
List Pim Fortuyn,0.6506765067650676,Right-wing,813,2
Christian Union,0.5170454545454546,Other,1760,2
Party of Freedom,0.6774031202818319,Right-wing,1987,2
Labour Party,0.52329360780065,Left-wing,1846,2
Christian Democratic Appeal,0.5142058686539357,Right-wing,2147,2
Socialist Party,0.6631578947368421,Left-wing,1995,2
Forum for Democracy,0.5126582278481012,Right-wing,474,2
Democrats‘66,0.5230820325473264,Other,3011,2
People’s Party for Freedom and Democracy,0.4635224760501105,Right-wing,1357,2
Reformed Political Party,0.594193407552936,Right-wing,9162,2
50Plus,0.544,Other,1625,2
Green Left,0.5734615384615385,Left-wing,7800,2
Party for the Animals,0.5855575569019158,Left-wing,6107,2
DENK,0.4309319233311302,Left-wing,1513,2
List Pim Fortuyn,0.5089285714285714,Right-wing,112,3
