party,year,score,orientation,counts,random_state
Austrian Freedom Party,2013.0,0.5460750853242321,Right-wing,293,0
Austrian People’s Party,2002.0,0.3061889250814332,Right-wing,307,0
Austrian People’s Party,2008.0,0.2416107382550335,Right-wing,447,0
Alliance for the Future of Austria,2008.0,0.4922279792746113,Right-wing,193,0
The Greens,2008.0,0.2762886597938144,Left-wing,485,0
The New Austria,2017.0,0.1228070175438596,Other,57,0
Austrian People’s Party,2006.0,0.3636363636363636,Right-wing,187,0
Austrian Freedom Party,2017.0,0.644927536231884,Right-wing,552,0
Alliance for the Future of Austria,2006.0,0.5,Right-wing,138,0
Team Stronach for Austria,2013.0,0.5652173913043478,Right-wing,161,0
Austrian Communist Party,2008.0,0.3291139240506329,Left-wing,158,0
Austrian Social Democratic Party,2006.0,0.4175257731958763,Left-wing,194,0
Austrian Social Democratic Party,2017.0,0.2864077669902912,Left-wing,206,0
The Greens,2006.0,0.29,Left-wing,100,0
The Greens,2013.0,0.3333333333333333,Left-wing,24,0
Austrian Freedom Party,2008.0,0.4659090909090909,Right-wing,88,0
Austrian Freedom Party,2002.0,0.5683060109289617,Right-wing,183,0
Austrian Freedom Party,2006.0,0.4545454545454545,Right-wing,44,0
The Greens,2002.0,0.5,Left-wing,78,0
Austrian People’s Party,2017.0,0.475,Right-wing,40,0
Austrian People’s Party,2013.0,0.7272727272727273,Right-wing,22,0
Austrian Social Democratic Party,2013.0,0.0,Left-wing,6,0
The Greens,2017.0,0.375,Left-wing,80,0
Austrian Social Democratic Party,2008.0,0.144578313253012,Left-wing,83,0
The New Austria,2013.0,0.35,Other,60,0
Austrian Social Democratic Party,2002.0,0.2666666666666666,Left-wing,15,0
Peter Pilz List,2017.0,0.4505494505494505,Left-wing,182,0
Austrian Communist Party,2008.0,0.3452593917710196,Left-wing,559,1
Alliance for the Future of Austria,2008.0,0.5683453237410072,Right-wing,139,1
The New Austria,2017.0,0.3664596273291925,Other,322,1
The Greens,2013.0,0.293598233995585,Left-wing,453,1
Austrian People’s Party,2017.0,0.3189189189189189,Right-wing,185,1
The Greens,2008.0,0.4558823529411764,Left-wing,136,1
Austrian People’s Party,2006.0,0.2307692307692307,Right-wing,26,1
Austrian People’s Party,2013.0,0.2879581151832461,Right-wing,191,1
Austrian Freedom Party,2002.0,0.5599173553719008,Right-wing,484,1
Team Stronach for Austria,2013.0,0.6136363636363636,Right-wing,176,1
Alliance for the Future of Austria,2006.0,0.5058823529411764,Right-wing,85,1
Austrian Social Democratic Party,2017.0,0.2708333333333333,Left-wing,48,1
Austrian Social Democratic Party,2002.0,0.3846153846153846,Left-wing,13,1
Austrian Freedom Party,2013.0,0.52,Right-wing,200,1
Austrian People’s Party,2002.0,0.4859154929577465,Right-wing,142,1
The Greens,2017.0,0.1704545454545454,Left-wing,88,1
The Greens,2006.0,0.2718446601941747,Left-wing,309,1
Austrian Social Democratic Party,2008.0,0.5,Left-wing,52,1
The New Austria,2013.0,0.1752577319587628,Other,97,1
The Greens,2002.0,0.315,Left-wing,200,1
Austrian Freedom Party,2006.0,0.5581395348837209,Right-wing,43,1
Austrian Social Democratic Party,2006.0,0.4558823529411764,Left-wing,68,1
Austrian Freedom Party,2017.0,0.4712643678160919,Right-wing,87,1
Austrian Social Democratic Party,2013.0,0.2307692307692307,Left-wing,13,1
Austrian People’s Party,2008.0,0.3148148148148148,Right-wing,54,1
Austrian Freedom Party,2008.0,0.5942028985507246,Right-wing,69,1
Peter Pilz List,2017.0,0.5,Left-wing,56,1
The Greens,2017.0,0.1768488745980707,Left-wing,311,2
Austrian People’s Party,2002.0,0.2789115646258503,Right-wing,147,2
