party,year,score,orientation,counts,random_state
People's Party,2011.0,0.0932926829268292,Right-wing,1640,0
Compromis,2019.0,0.144,Left-wing,125,0
United Left,2011.0,0.0334128878281622,Left-wing,838,0
Popular Unity,2015.0,0.8229299363057325,Left-wing,785,0
Spanish Socialist Workers’ Party,2019.0,0.10912343470483,Left-wing,559,0
Convergence and Union,2011.0,0.0530246452576549,Other,1339,0
Convergence and Union,2008.0,0.0379146919431279,Other,633,0
"Union, Progress and Democracy",2011.0,0.0572597137014314,Other,1467,0
We can,2019.0,0.1910631741140215,Left-wing,649,0
People's Party,2016.0,0.8442211055276382,Right-wing,597,0
People's Party,2015.0,0.0454545454545454,Right-wing,1958,0
We can,2016.0,0.9028776978417268,Left-wing,556,0
People's Party,2019.0,0.2604006163328197,Right-wing,649,0
Spanish Socialist Workers’ Party,2015.0,0.0636363636363636,Left-wing,220,0
People's Party,2008.0,0.0652173913043478,Right-wing,46,0
In Common We Can,2015.0,0.9068702290076336,Left-wing,655,0
Spanish Socialist Workers’ Party,2008.0,0.0691056910569105,Left-wing,246,0
Democracy and Freedom,2015.0,0.0830815709969788,Right-wing,662,0
In Common We Can,2016.0,0.4694444444444444,Left-wing,360,0
Spanish Socialist Workers’ Party,2016.0,0.7461858529819695,Left-wing,721,0
United Left,2008.0,0.0735294117647058,Left-wing,136,0
Spanish Socialist Workers’ Party,2011.0,0.0391414141414141,Left-wing,792,0
We can,2015.0,0.1394230769230769,Left-wing,208,0
United We Can,2016.0,0.84,Left-wing,100,0
Citizens,2019.0,0.1601941747572815,Right-wing,206,0
Commitment-We can-It is time,2015.0,0.0613060861839182,Left-wing,2251,0
Citizens,2015.0,0.0628210193599367,Right-wing,5062,0
Citizens,2016.0,0.1430608365019011,Right-wing,2104,0
Democratic Convergence of Catalonia,2016.0,0.8146616541353383,Right-wing,2660,0
United Left,2008.0,0.3889716840536513,Left-wing,671,1
Compromis,2019.0,0.3389724310776942,Left-wing,1596,1
Democracy and Freedom,2015.0,0.2974781266083376,Right-wing,1943,1
United Left,2011.0,0.2933130699088146,Left-wing,658,1
Spanish Socialist Workers’ Party,2011.0,0.3354531001589825,Left-wing,629,1
Spanish Socialist Workers’ Party,2019.0,0.3557814485387547,Left-wing,787,1
Spanish Socialist Workers’ Party,2015.0,0.3023255813953488,Left-wing,645,1
We can,2015.0,0.3153526970954357,Left-wing,241,1
People's Party,2008.0,0.4067164179104477,Right-wing,536,1
