party,year,score,orientation,counts,random_state
Union for a Popular Movement,2012.0,0.2155172413793103,Right-wing,348,0
Left Front,2012.0,0.2428571428571428,Left-wing,140,0
Democratic Mouvement,2012.0,0.1685393258426966,Right-wing,89,0
Centrist Alliance,2012.0,0.265625,Other,192,0
Socialist Party,2017.0,0.2777777777777778,Left-wing,90,0
Socialist Party,2012.0,0.2534246575342466,Left-wing,146,0
Democratic Mouvement,2017.0,0.1416666666666666,Right-wing,240,0
Republic Onwards!,2017.0,0.2218309859154929,Other,284,0
Radical Party,2012.0,0.2258064516129032,Right-wing,31,0
National Front,2007.0,0.5245283018867924,Right-wing,265,0
Union for a Popular Movement,2007.0,0.3134328358208955,Right-wing,134,0
National Front,2012.0,0.5714285714285714,Right-wing,112,0
Left Radical Party,2012.0,0.2697368421052631,Left-wing,152,0
Democratic Mouvement,2007.0,0.1318681318681318,Right-wing,91,0
New Centre,2012.0,0.3432835820895522,Other,67,0
Left Radical Party,2017.0,0.270440251572327,Left-wing,159,0
Union of Democrats and Independents,2017.0,0.2702702702702703,Right-wing,111,0
Union for a Popular Movement,2017.0,0.2,Right-wing,55,0
National Front,2017.0,0.2891566265060241,Right-wing,83,0
Indomitable France,2017.0,0.3181818181818182,Left-wing,22,0
Socialist Party,2007.0,0.3012048192771084,Left-wing,83,0
Resistons,2017.0,0.337719298245614,Left-wing,228,0
The Greens,2007.0,0.3592233009708738,Left-wing,1339,0
The Greens,2012.0,0.3147540983606557,Left-wing,305,0
French Communist Party,2017.0,0.358974358974359,Left-wing,39,0
The Greens,2017.0,0.2330508474576271,Left-wing,236,0
Debout la France,2017.0,0.33984375,Right-wing,256,0
Nouveau Parti Anticapitaliste,2017.0,0.3278985507246377,Left-wing,552,0
National Front,2012.0,0.3544303797468354,Right-wing,158,1
Democratic Mouvement,2007.0,0.3274336283185841,Right-wing,113,1
Union of Democrats and Independents,2017.0,0.25,Right-wing,32,1
Republic Onwards!,2017.0,0.68125,Other,160,1
New Centre,2012.0,0.238095238095238,Other,84,1
Centrist Alliance,2012.0,0.1975308641975308,Other,162,1
Democratic Mouvement,2017.0,0.1739130434782608,Right-wing,115,1
Union for a Popular Movement,2017.0,0.2849462365591398,Right-wing,186,1
Democratic Mouvement,2012.0,0.3163265306122449,Right-wing,98,1
Indomitable France,2017.0,0.651685393258427,Left-wing,267,1
Union for a Popular Movement,2012.0,0.1702127659574468,Right-wing,94,1
Socialist Party,2017.0,0.204225352112676,Left-wing,142,1
Socialist Party,2007.0,0.3034055727554179,Left-wing,323,1
Left Radical Party,2012.0,0.2295081967213114,Left-wing,244,1
Socialist Party,2012.0,0.2481203007518796,Left-wing,133,1
National Front,2017.0,0.6732673267326733,Right-wing,101,1
Left Front,2012.0,0.2895752895752895,Left-wing,259,1
National Front,2007.0,0.5222222222222223,Right-wing,90,1
Left Radical Party,2017.0,0.3387096774193548,Left-wing,62,1
Radical Party,2012.0,0.1372549019607843,Right-wing,51,1
Union for a Popular Movement,2007.0,0.35,Right-wing,20,1
Resistons,2017.0,0.4649122807017544,Left-wing,228,1
The Greens,2007.0,0.3965646004480956,Left-wing,1339,1
The Greens,2012.0,0.5836065573770491,Left-wing,305,1
The Greens,2017.0,0.2307692307692307,Left-wing,39,1
Nouveau Parti Anticapitaliste,2017.0,0.2161016949152542,Left-wing,236,1
French Communist Party,2017.0,0.37890625,Left-wing,256,1
Debout la France,2017.0,0.4746376811594203,Right-wing,552,1
Radical Party,2012.0,0.2832764505119454,Right-wing,293,2
Left Radical Party,2012.0,0.2352941176470588,Left-wing,17,2
Centrist Alliance,2012.0,0.1710526315789473,Other,152,2
Socialist Party,2012.0,0.1714285714285714,Left-wing,140,2
Left Front,2012.0,0.1940298507462686,Left-wing,134,2
Union for a Popular Movement,2017.0,0.3243243243243243,Right-wing,74,2
Socialist Party,2017.0,0.2233009708737864,Left-wing,103,2
Union for a Popular Movement,2007.0,0.1858407079646017,Right-wing,113,2
