party,year,score,orientation,counts,random_state
Party of Freedom,2006.0,0.6497584541062802,Right-wing,828,0
Christian Democratic Appeal,2010.0,0.5020746887966805,Right-wing,482,0
Socialist Party,2017.0,0.53,Left-wing,700,0
Christian Democratic Appeal,2017.0,0.4831460674157303,Right-wing,801,0
People’s Party for Freedom and Democracy,2012.0,0.382258064516129,Right-wing,620,0
Labour Party,2010.0,0.3676470588235294,Left-wing,544,0
Socialist Party,2002.0,0.5176767676767676,Left-wing,792,0
Christian Democratic Appeal,2002.0,0.5376344086021505,Right-wing,186,0
People’s Party for Freedom and Democracy,2002.0,0.4010416666666667,Right-wing,192,0
Christian Union,2010.0,0.3460207612456747,Other,289,0
Party of Freedom,2017.0,0.6269727403156384,Right-wing,697,0
Democrats‘66,2003.0,0.4268292682926829,Other,574,0
Party of Freedom,2012.0,0.6716417910447762,Right-wing,469,0
Labour Party,2017.0,0.4076433121019108,Left-wing,471,0
Christian Democratic Appeal,2006.0,0.0163934426229508,Right-wing,61,0
Socialist Party,2003.0,0.6238019169329073,Left-wing,1252,0
Labour Party,2002.0,0.3954285714285714,Left-wing,875,0
Socialist Party,2012.0,0.6714285714285714,Left-wing,140,0
Labour Party,2003.0,0.3394833948339483,Left-wing,542,0
Christian Union,2006.0,0.5022727272727273,Other,880,0
People’s Party for Freedom and Democracy,2010.0,0.4733096085409252,Right-wing,281,0
Democrats‘66,2010.0,0.25,Other,40,0
Christian Union,2012.0,0.2261146496815286,Other,314,0
Christian Union,2017.0,0.4104046242774566,Other,346,0
List Pim Fortuyn,2003.0,0.5848595848595849,Right-wing,819,0
Democrats‘66,2012.0,0.3494704992435703,Other,661,0
People’s Party for Freedom and Democracy,2003.0,0.5294117647058824,Right-wing,510,0
Christian Union,2002.0,0.2272727272727272,Other,132,0
Labour Party,2006.0,0.3718820861678004,Left-wing,441,0
Christian Democratic Appeal,2012.0,0.3611111111111111,Right-wing,288,0
Party of Freedom,2010.0,0.6745098039215687,Right-wing,510,0
People’s Party for Freedom and Democracy,2006.0,0.3211678832116788,Right-wing,137,0
People’s Party for Freedom and Democracy,2017.0,0.3513513513513513,Right-wing,111,0
Democrats‘66,2006.0,0.1592920353982301,Other,113,0
Democrats‘66,2017.0,0.4,Other,20,0
Forum for Democracy,2017.0,0.12,Right-wing,75,0
Labour Party,2012.0,0.2857142857142857,Left-wing,7,0
Socialist Party,2006.0,0.35,Left-wing,80,0
Democrats‘66,2002.0,0.25,Other,20,0
Socialist Party,2010.0,0.6071428571428571,Left-wing,28,0
Green Left,2017.0,0.5406871609403255,Left-wing,553,0
Green Left,2012.0,0.5439330543933054,Left-wing,1195,0
Reformed Political Party,2017.0,0.4757281553398058,Right-wing,206,0
Reformed Political Party,2010.0,0.5636363636363636,Right-wing,990,0
Green Left,2002.0,0.4659949622166247,Left-wing,1191,0
Party for the Animals,2012.0,0.291970802919708,Left-wing,137,0
50Plus,2012.0,0.4950429610046266,Other,1513,0
Green Left,2006.0,0.456401766004415,Left-wing,1812,0
Party for the Animals,2006.0,0.519036519036519,Left-wing,2574,0
Party for the Animals,2010.0,0.4649446494464944,Left-wing,1355,0
Reformed Political Party,2012.0,0.4397473275024295,Right-wing,2058,0
Reformed Political Party,2002.0,0.4839537869062901,Right-wing,1558,0
Green Left,2010.0,0.4142988084326306,Left-wing,1091,0
DENK,2017.0,0.4163716814159292,Left-wing,2260,0
50Plus,2017.0,0.2888465204957102,Other,1049,0
Green Left,2003.0,0.5278688524590164,Left-wing,1525,0
Party for the Animals,2017.0,0.4689413823272091,Left-wing,1143,0
Reformed Political Party,2006.0,0.4476409666283084,Right-wing,869,0
Democrats‘66,2002.0,0.2908163265306122,Other,588,1
People’s Party for Freedom and Democracy,2012.0,0.5928571428571429,Right-wing,280,1
Party of Freedom,2010.0,0.5781448538754765,Right-wing,787,1
Christian Democratic Appeal,2012.0,0.5297029702970297,Right-wing,808,1
Labour Party,2012.0,0.2909090909090909,Left-wing,880,1
People’s Party for Freedom and Democracy,2010.0,0.3294629898403483,Right-wing,689,1
Christian Democratic Appeal,2010.0,0.3005686433793664,Right-wing,1231,1
Democrats‘66,2012.0,0.2891156462585034,Other,294,1
Socialist Party,2006.0,0.5670103092783505,Left-wing,679,1
Labour Party,2006.0,0.3784722222222222,Left-wing,864,1
Democrats‘66,2017.0,0.525233644859813,Other,535,1
Christian Union,2012.0,0.4022140221402214,Other,542,1
People’s Party for Freedom and Democracy,2003.0,0.3440134907251265,Right-wing,593,1
Socialist Party,2012.0,0.603448275862069,Left-wing,870,1
Forum for Democracy,2017.0,0.5092592592592593,Right-wing,108,1
Labour Party,2017.0,0.3716417910447761,Left-wing,670,1
Christian Democratic Appeal,2017.0,0.4923076923076923,Right-wing,520,1
Socialist Party,2017.0,0.5719424460431655,Left-wing,278,1
Democrats‘66,2006.0,0.3669064748201439,Other,139,1
People’s Party for Freedom and Democracy,2002.0,0.4584717607973422,Right-wing,602,1
Socialist Party,2003.0,0.4662447257383966,Left-wing,474,1
Democrats‘66,2003.0,0.4207920792079208,Other,808,1
Christian Union,2006.0,0.0,Other,67,1
Party of Freedom,2006.0,0.695364238410596,Right-wing,151,1
Labour Party,2010.0,0.1313131313131313,Left-wing,99,1
People’s Party for Freedom and Democracy,2006.0,0.6070175438596491,Right-wing,285,1
Christian Democratic Appeal,2006.0,0.0714285714285714,Right-wing,28,1
Socialist Party,2010.0,0.6229508196721312,Left-wing,61,1
Socialist Party,2002.0,0.5896860986547086,Left-wing,446,1
Party of Freedom,2017.0,0.61,Right-wing,200,1
Democrats‘66,2010.0,0.4060324825986079,Other,431,1
Labour Party,2002.0,0.3297180043383948,Left-wing,461,1
List Pim Fortuyn,2003.0,0.8,Right-wing,5,1
Party of Freedom,2012.0,0.4759206798866855,Right-wing,353,1
Christian Union,2010.0,0.4899328859060403,Other,149,1
Christian Union,2002.0,0.1063829787234042,Other,141,1
People’s Party for Freedom and Democracy,2017.0,0.3333333333333333,Right-wing,18,1
Christian Democratic Appeal,2002.0,0.25,Right-wing,28,1
Labour Party,2003.0,0.1532258064516129,Left-wing,124,1
Christian Union,2017.0,0.5238095238095238,Other,42,1
Green Left,2012.0,0.5786618444846293,Left-wing,553,1
DENK,2017.0,0.5380753138075314,Left-wing,1195,1
Reformed Political Party,2002.0,0.529126213592233,Right-wing,206,1
50Plus,2012.0,0.4373737373737373,Other,990,1
Green Left,2002.0,0.5499580184718724,Left-wing,1191,1
Reformed Political Party,2012.0,0.2773722627737226,Right-wing,137,1
Party for the Animals,2017.0,0.4983476536682089,Left-wing,1513,1
Party for the Animals,2012.0,0.5193156732891833,Left-wing,1812,1
Green Left,2017.0,0.5256410256410257,Left-wing,2574,1
Reformed Political Party,2010.0,0.4900369003690037,Right-wing,1355,1
50Plus,2017.0,0.5048590864917396,Other,2058,1
Party for the Animals,2006.0,0.506418485237484,Left-wing,1558,1
Green Left,2006.0,0.4124656278643446,Left-wing,1091,1
Party for the Animals,2010.0,0.4876106194690265,Left-wing,2260,1
Reformed Political Party,2017.0,0.334604385128694,Right-wing,1049,1
Reformed Political Party,2006.0,0.5704918032786885,Right-wing,1525,1
Green Left,2010.0,0.4890638670166229,Left-wing,1143,1
Green Left,2003.0,0.5523590333716916,Left-wing,869,1
Party of Freedom,2006.0,0.5314533622559653,Right-wing,461,2
Christian Union,2010.0,0.4041811846689895,Other,574,2
Socialist Party,2010.0,0.5954825462012321,Left-wing,487,2
Socialist Party,2012.0,0.601965601965602,Left-wing,814,2
Democrats‘66,2012.0,0.5104551045510455,Other,813,2
List Pim Fortuyn,2003.0,0.5790725326991677,Right-wing,841,2
People’s Party for Freedom and Democracy,2002.0,0.4558303886925795,Right-wing,283,2
Democrats‘66,2017.0,0.4460227272727273,Other,704,2
Party of Freedom,2012.0,0.5457227138643068,Right-wing,339,2
Party of Freedom,2017.0,0.5392670157068062,Right-wing,573,2
Christian Democratic Appeal,2010.0,0.3512195121951219,Right-wing,205,2
Christian Union,2012.0,0.4014084507042254,Other,284,2
Party of Freedom,2010.0,0.6365873666940115,Right-wing,1219,2
Socialist Party,2003.0,0.5345454545454545,Left-wing,275,2
Socialist Party,2017.0,0.6504629629629629,Left-wing,864,2
Christian Union,2017.0,0.4100985221674877,Other,812,2
Labour Party,2012.0,0.4069981583793738,Left-wing,543,2
Democrats‘66,2006.0,0.44,Other,75,2
Christian Union,2006.0,0.3351955307262569,Other,179,2
People’s Party for Freedom and Democracy,2017.0,0.4502103786816269,Right-wing,713,2
Labour Party,2002.0,0.3176972281449893,Left-wing,469,2
Democrats‘66,2010.0,0.320754716981132,Other,159,2
Christian Democratic Appeal,2002.0,0.3359133126934984,Right-wing,646,2
Labour Party,2010.0,0.6443202979515829,Left-wing,537,2
Forum for Democracy,2017.0,0.603225806451613,Right-wing,310,2
Labour Party,2003.0,0.3224043715846995,Left-wing,549,2
Socialist Party,2002.0,0.5894736842105263,Left-wing,475,2
Labour Party,2017.0,0.4070247933884297,Left-wing,484,2
Democrats‘66,2003.0,0.2184873949579832,Other,119,2
Socialist Party,2006.0,0.5055487053020962,Left-wing,811,2
People’s Party for Freedom and Democracy,2003.0,0.1626016260162601,Right-wing,123,2
Christian Democratic Appeal,2006.0,0.2727272727272727,Right-wing,132,2
People’s Party for Freedom and Democracy,2010.0,0.3132530120481928,Right-wing,83,2
Christian Democratic Appeal,2017.0,0.0298507462686567,Right-wing,67,2
Christian Union,2002.0,0.4382022471910112,Other,178,2
People’s Party for Freedom and Democracy,2012.0,0.2127659574468085,Right-wing,47,2
Democrats‘66,2002.0,0.4166666666666667,Other,24,2
Labour Party,2006.0,0.1428571428571428,Left-wing,7,2
People’s Party for Freedom and Democracy,2006.0,0.1481481481481481,Right-wing,27,2
Christian Democratic Appeal,2012.0,0.391304347826087,Right-wing,23,2
Party for the Animals,2010.0,0.4466546112115732,Left-wing,553,2
Party for the Animals,2012.0,0.5129707112970712,Left-wing,1195,2
Green Left,2006.0,0.4029126213592233,Left-wing,206,2
50Plus,2017.0,0.5050505050505051,Other,990,2
Reformed Political Party,2010.0,0.4861460957178841,Right-wing,1191,2
Green Left,2003.0,0.364963503649635,Left-wing,137,2
DENK,2017.0,0.5234633179114342,Left-wing,1513,2
Green Left,2017.0,0.5342163355408388,Left-wing,1812,2
Reformed Political Party,2006.0,0.5042735042735043,Right-wing,2574,2
Reformed Political Party,2012.0,0.4715867158671586,Right-wing,1355,2
Green Left,2002.0,0.532555879494655,Left-wing,2058,2
50Plus,2012.0,0.5154043645699615,Other,1558,2
Green Left,2010.0,0.5160403299725023,Left-wing,1091,2
Green Left,2012.0,0.5269911504424779,Left-wing,2260,2
Party for the Animals,2006.0,0.436606291706387,Left-wing,1049,2
Reformed Political Party,2002.0,0.5075409836065574,Right-wing,1525,2
Party for the Animals,2017.0,0.4610673665791776,Left-wing,1143,2
Reformed Political Party,2017.0,0.4798619102416571,Right-wing,869,2
Democrats‘66,2003.0,0.3360655737704918,Other,488,3
List Pim Fortuyn,2003.0,0.4956521739130435,Right-wing,690,3
Christian Union,2002.0,0.3930131004366812,Other,687,3
Socialist Party,2012.0,0.5878378378378378,Left-wing,444,3
Democrats‘66,2006.0,0.3335980937251787,Other,1259,3
Democrats‘66,2012.0,0.1232876712328767,Other,292,3
Forum for Democracy,2017.0,0.6336032388663968,Right-wing,494,3
Labour Party,2017.0,0.3870246085011186,Left-wing,447,3
Party of Freedom,2006.0,0.6445783132530121,Right-wing,166,3
Democrats‘66,2002.0,0.288582183186951,Other,797,3
Socialist Party,2017.0,0.5029868578255675,Left-wing,837,3
Christian Union,2010.0,0.1275167785234899,Other,149,3
Socialist Party,2002.0,0.4665492957746479,Left-wing,568,3
Christian Democratic Appeal,2012.0,0.2372448979591837,Right-wing,784,3
People’s Party for Freedom and Democracy,2006.0,0.3456221198156682,Right-wing,868,3
Labour Party,2010.0,0.3310104529616725,Left-wing,861,3
Christian Union,2012.0,0.4006968641114982,Other,861,3
Democrats‘66,2010.0,0.4453125,Other,512,3
Labour Party,2012.0,0.261986301369863,Left-wing,584,3
Democrats‘66,2017.0,0.3276231263383297,Other,467,3
Socialist Party,2003.0,0.7259615384615384,Left-wing,208,3
Party of Freedom,2012.0,0.7786259541984732,Right-wing,262,3
Socialist Party,2006.0,0.452991452991453,Left-wing,351,3
Socialist Party,2010.0,0.0416666666666666,Left-wing,72,3
Labour Party,2002.0,0.2840722495894909,Left-wing,609,3
Christian Union,2006.0,0.2471728594507269,Other,619,3
People’s Party for Freedom and Democracy,2010.0,0.391304347826087,Right-wing,276,3
Christian Democratic Appeal,2006.0,0.0135135135135135,Right-wing,74,3
Labour Party,2006.0,0.3011811023622047,Left-wing,508,3
Labour Party,2003.0,0.3564668769716088,Left-wing,317,3
Party of Freedom,2010.0,0.5903614457831325,Right-wing,166,3
Christian Democratic Appeal,2002.0,0.2554744525547445,Right-wing,137,3
People’s Party for Freedom and Democracy,2003.0,0.5581395348837209,Right-wing,43,3
People’s Party for Freedom and Democracy,2002.0,0.3478260869565217,Right-wing,23,3
Christian Democratic Appeal,2017.0,0.3302752293577982,Right-wing,109,3
Christian Union,2017.0,0.12,Other,75,3
People’s Party for Freedom and Democracy,2017.0,0.0365853658536585,Right-wing,164,3
